indicator,indicator_code,location,location_code,period,value,value_numeric,value_ci,sex,residence,wealth_quintile
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2019,,No,,Oral health,Total,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2016,,No,,Smokeless tobacco packaging and labelling must not use descriptors depicting flavours,Urban,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,1994,7.3,7.3,[4.7-11.0],Male,Rural,Total
"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",NCD_BMI_30A,Kenya,KEN,2000,2.1721505,2.2,[1.2-3.5],Male,Total,Total
Number of children aged 6-59 months with anaemia (thousands),NUTRITION_ANAEMIA_CHILDREN_NUM,Kenya,KEN,2004,200,200,[96.3-343],Severe,Total,Total
Number of infant deaths,CM_02,Kenya,KEN,2011,27029,27 029,[24 748-29 555],Female,Urban,Total
"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",AIR_62,Kenya,KEN,2015,46.23,46,[39-53],Both sexes,Total,Total
Healthy life expectancy (HALE) at birth (years),WHOSIS_000002,Kenya,KEN,2018,57.88585027,57.9,[57.1-58.7],Both sexes,Total,Total
"Overweight numbers among children under 5 years of age (thousands), model-based estimates",NUTOVERWEIGHTNUM,Kenya,KEN,2020,255.2,255.2,[213.1-305.2],Both sexes,Urban,Total
Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),WHOSIS_000016,Kenya,KEN,2017,4.337350271,4.3,[3.4-5.4],Male,Rural,Total
Population using safely managed sanitation services (%),WSH_SANITATION_SAFELY_MANAGED,Kenya,KEN,2002,21.01718,21,,Urban,Total,Total
Tobacco Enforce bans: E1 direct advertising,TOBACCO_MPOWER_E1_DIRECTADBANS,Kenya,KEN,2022,,Yes,,Ban on advertising on international television and radio,Total,Total
Treatment success rate for patients treated for MDR-TB (%),TB_c_mdr_tsr,Kenya,KEN,2019,73,73,,,Urban,Total
New HIV infections (per 1000 uninfected population),SDGHIV,Kenya,KEN,1993,13.1,13.1,[8.3 - 20.5],Female,Total,Total
Number of under-five deaths,CM_01,Kenya,KEN,2010,18615,18 615,[16 531-20 940],Both sexes,Total,Total
"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS1C,Kenya,KEN,2004,8.5448928,8.5,[3.9-15.3],Male,Urban,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,2011,9.0107828,9.0,[6.6-12.1],Both sexes,Rural,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,2016,10.373805,10.4,[8.2-12.7],Both sexes,Total,Total
Household and ambient air pollution attributable DALYs,AIR_60,Kenya,KEN,2014,1102541.037,1 102 541,[958 098-1 240 825],Both sexes,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2016,6.9,6.9,[4.4-10.8],Female,Urban,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2023,,Yes,,"Policies, strategies and plans",Total,Total
Tobacco Enforce bans: E2 indirect advertising,TOBACCO_MPOWER_E2_INDIRECTADBANS,Kenya,KEN,2012,,Yes,,Ban on use of brand name of non-tobacco product for tobacco product,Total,Total
UHC Service Coverage sub-index on infectious diseases,UHC_SCI_INFECT,Kenya,KEN,2020,34,34,,,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2011,9.9,9.9,[3.9 - 19.5],Rural,Rural,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2017,,No,,Palliative care in the public health system,Total,Total
HIV-positive TB patients on ART (antiretroviral therapy) (%),TB_hiv_art_pct,Kenya,KEN,2016,95,95,,,Total,Total
Population with primary reliance on polluting fuels and technologies for cooking (in millions),PHE_HHAIR_POP_POLLUTING_FUELS,Kenya,KEN,2001,30.95516743,30.96,[29.53 - 31.52],Total,Urban,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2008,2.66878,2.7,,1-59 months,Total,Total
"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",TOBACCO_MPOWER_W2A_CIGARETTES,Kenya,KEN,2024,,Yes,,Specific health warnings are mandated for cigarette packaging,Total,Total
Number of new HIV infections,HIV_0000000026,Kenya,KEN,2016,32000,32 000,[21 000 - 50 000],,Urban,Total
Tobacco Warning: W1b smoked tobacco packaging health warnings,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,Kenya,KEN,2022,50,50,,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,Rural,Total
Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),WHOSIS_000016,Kenya,KEN,1992,11.32130413,11.3,[10.1-12.7],Both sexes,Total,Total
Minimum dietary diversity 6-23 months,NUT_CF_MDD,Kenya,KEN,2014,42.2,42.2,[39.0-45.4],Wealth - Top 80%,Total,Total
"Prevalence of diabetes, age-standardized",NCD_DIABETES_PREVALENCE_AGESTD,Kenya,KEN,2014,4.3845065,4.4,[2.4-7.1],Male,Urban,Total
Number of under-five deaths,CM_01,Kenya,KEN,1959,37140,37 140,[33 957-40 699],Female,Total,Total
Tobacco Warning: W1a cigarette packaging health warnings,TOBACCO_MPOWER_W1A_CIGARETTES,Kenya,KEN,2024,,No,,Health warnings on cigarette packaging must be placed at the top of the principal display areas of the package,Total,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2023,,Yes,,Guidelines,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,1993,40.2,40.2,[38.3-42.1],Both sexes,Rural,Total
Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),NCD_PAC,Kenya,KEN,2003,8.1514425,8.2,[4.0-14.2],Male,Total,Total
Tobacco Offer help: O2 Availability of tobacco cessation medications,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,Kenya,KEN,2007,,Yes,,Bupropion - legally sold,Total,Total
Joint effects of air pollution attributable deaths,AIR_35,Kenya,KEN,2015,2108.562,2109,[1648-2489],Female,Urban,Total
Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Kenya,KEN,2003,99.3,99.3,[97.3 - 100],Rural,Total,Total
Prevalence of HIV among adults aged 15 to 49 (%),MDG_0000000029,Kenya,KEN,2014,4.9,4.9,[4.4 - 5.5],,Total,Total
Tobacco Warning: W3 anti-tobacco mass-media campaigns,TOBACCO_MPOWER_W3_MASSMEDIA,Kenya,KEN,2020,,—,,Campaign ran on both national television and radio,Urban,Total
Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,NCD_UNDER70,Kenya,KEN,2004,70.47599793,70,,Male,Rural,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,2000,16.38961754,16.4,[13.0-20.3],Female,Total,Total
Tobacco Warning: W1c smokeless tobacco packaging health warnings,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,Kenya,KEN,2007,,Yes,,Health warnings on smokeless tobacco packaging must be rotated,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2008,8.62417,8.6,,0-4 years of age,Urban,Total
Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),NCD_PAA,Kenya,KEN,2006,11.74945,11.7,[8.1-16.2],Both sexes,Total,Total
Number of under-five deaths,CM_01,Kenya,KEN,2017,13138,13 138,[11 762-14 680],Both sexes,Total,Total
Proportion of population with primary reliance on clean fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_CLEAN_FUELS,Kenya,KEN,2009,6.4,6.4,[2.0-14.1],Total,Urban,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2018,0.137,0,[0-0],Female,Rural,Total
Life expectancy at birth (years),WHOSIS_000001,Kenya,KEN,2007,58.55063756,58.6,[57.7-59.2],Both sexes,Total,Total
Treatment success rate: HIV-positive TB cases,TB_c_tbhiv_tsr,Kenya,KEN,2010,82,82,,,Total,Total
Tested TB patients HIV-positive (%),TB_hivtest_pos_pct,Kenya,KEN,2019,26,26,,,Urban,Total
"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections",SA_0000001818,Kenya,KEN,2029,3.1261774,3.1,[1.2 - 5.1],Both sexes,Total,Total
Domestic private health expenditure (PVT-D) per capita in US$,GHED_PVT-D_pc_US_SHA2011,Kenya,KEN,2017,23.91004308,23.91,,,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1969,0.01,0.01,,Wine,Urban,Total
"Mean HDL cholesterol, crude",NCD_CHOL_MEANHDL_C,Kenya,KEN,2008,1.2,1.2,[1.0-1.3],Female,Rural,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,1996,0.6,0.6,[0 - 4],Urban,Total,Total
Tobacco MPOWER Protect people: P1 smoke-free places (national legislation),TOBACCO_MPOWER_P1_SMOKEFREEPLACES,Kenya,KEN,2012,,No,,Smoke-free indoor offices and workplaces,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2000,8.1,8.1,[7.3-9.1],Total,Urban,Total
Tobacco Warning: W3 anti-tobacco mass-media campaigns,TOBACCO_MPOWER_W3_MASSMEDIA,Kenya,KEN,2014,,—,,Campaign was pre-tested,Total,Total
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),GHED_GGHE-DGGE_SHA2011,Kenya,KEN,2013,7.14972067,7.15,,,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2020,82.9,82.9,[72.2 - 91.3],Rural,Urban,Total
"Mean Non-HDL cholesterol, crude",NCD_CHOL_MEANNONHDL_C,Kenya,KEN,1994,2.5,2.5,[2.2-2.8],Female,Rural,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,1996,0.97070988,1.0,[0.1-3.1],Male,Total,Total
Number of children aged 6-59 months with anaemia (thousands),NUTRITION_ANAEMIA_CHILDREN_NUM,Kenya,KEN,2014,2790,2790,[2210-3360],Total,Total,Total
Service Capacity Index for Substance Use Disorders (SCI-SUD),SUD_SERVICECAPACITYINDEX,Kenya,KEN,2019,50.99206349,51.0,[46.1-56.1],,Urban,Total
Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),GHED_CHEGDP_SHA2011,Kenya,KEN,2003,4.03365707,4.03,,,Total,Total
"Alcohol, average daily intake in grams among drinkers, three-year average",SA_0000001751,Kenya,KEN,2002,8.41204447,8.4,[3.3 - 14.2],Female,Total,Total
Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),NCD_PAA,Kenya,KEN,2003,10.525333,10.5,[5.5-17.4],Male,Urban,Total
Tobacco Enforce bans: E2 indirect advertising,TOBACCO_MPOWER_E2_INDIRECTADBANS,Kenya,KEN,2012,,Yes,,Law requires fines for violations of promotion and sponsorship bans,Rural,Total
Proportion of population with primary reliance on clean fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_CLEAN_FUELS,Kenya,KEN,2001,6.7,6.7,[0.8-22.0],Urban,Total,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2021,,Yes,,Tests and procedures in primary health care,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2002,105.54035,105.5,,Both sexes,Urban,Total
"Mean HDL cholesterol, age-standardized",NCD_CHOL_MEANHDL_A,Kenya,KEN,1998,1.1,1.1,[0.9-1.3],Male,Total,Total
Ever breastfed,NUT_BF_EVBF,Kenya,KEN,1989,96.9,96.9,,Urban,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2008,8.1,8.1,[6.9-9.4],Wealth - Bottom 60%,Urban,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2017,2.5521973,2.6,[1.4-4.4],Female,Rural,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1963,3.42,3.42,,All types,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,1994,2.6,2.6,[1.9-3.5],0 to 23 months,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2014,3.1,3.1,[2.5-3.8],Secondary or higher,Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2022,5,5.0,[4.5-5.5],24 to 59 months,Total,Total
Number of under-five deaths,CM_01,Kenya,KEN,1961,40625,40 625,[37 360-44 103],Male,Total,Total
"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",SDGAIRBODA,Kenya,KEN,2012,53.282,53,[45-61],Both sexes,Urban,Total
Number of under-five deaths,CM_01,Kenya,KEN,1996,19841,19 841,[17 718-22 130],Both sexes,Rural,Total
Household and ambient air pollution attributable DALYs,AIR_60,Kenya,KEN,2012,122874.119,122 874,[96 492-145 790],Both sexes,Total,Total
"Mean HDL cholesterol, crude",NCD_CHOL_MEANHDL_C,Kenya,KEN,2010,1,1.0,[0.9-1.2],Male,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2005,7.9,7.9,[7.1-8.9],Both sexes,Urban,Total
Household air pollution attributable deaths,AIR_11,Kenya,KEN,2013,113.918,114,[99-127],Female,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2003,44.2,44.2,[40.8-47.5],Q1 (Poorest),Total,Total
"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",NCD_BMI_30C,Kenya,KEN,2003,1.8847782,1.9,[1.1-3.0],Male,Urban,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2014,2.1,2.1,[1.4-3.0],48 to 53 months,Rural,Total
Proportion of population with primary reliance on clean fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_CLEAN_FUELS,Kenya,KEN,2002,2.5,2.5,[0.4-7.8],Total,Total,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2012,36.853,37,[23-56],Male,Total,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2017,,No,,"Policies, strategies and plans",Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2000,11.5,11.5,[9.1-14.5],Male,Total,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,2002,92.55337059,92.6,[86.2-99.4],Male,Total,Total
Insufficiently active (crude estimate),NCD_PAC_ADO,Kenya,KEN,2013,86.86497,86.9,[84.3-89.1],Both sexes,Urban,Total
"Alcohol, tourist consumption (in litres of pure alcohol), three-year average",SA_0000001823,Kenya,KEN,2009,-0.005552684,0.0,[-0.1 - 0.1],,Rural,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2008,,Yes,,"Smokeless tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine, CO)",Total,Total
"Average daily intake in grams of alcohol, population (15+)",SA_0000001845,Kenya,KEN,2006,5.158070378,5.2,[2.2 - 8.6],Both sexes,Total,Total
Reported number of people receiving antiretroviral therapy,HIV_0000000009,Kenya,KEN,2020,1051537,1 051 537,,,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,1997,0.7,0.7,[0 - 4.3],Urban,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2000,5.5,5.5,[1.4 - 13.3],Rural,Total,Total
Total density per million population: Radiotherapy units,DEVICES22,Kenya,KEN,2010,0.02,0.02,,,Urban,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,1998,5.6681834,5.7,[2.2-11.3],Female,Rural,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2022,2,2.0,[1.2-3.5],Female,Total,Total
External health expenditure (EXT) as percentage of current health expenditure (CHE) (%),GHED_EXTCHE_SHA2011,Kenya,KEN,2016,16.20617104,16.21,,,Total,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,2009,7.329858489,7.3,[5.6-9.4],Female,Urban,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2003,13.1,13.1,[9.0-18.7],Male,Total,Total
Life expectancy at age 60 (years),WHOSIS_000015,Kenya,KEN,2011,16.52106695,16.5,[16.2-16.8],Both sexes,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2003,1.9,1.9,[1.4-2.5],Wealth - Middle 60%,Urban,Total
Number of deaths among adolescents (10 to 19 years of age),DEATHADO,Kenya,KEN,2023,2430,2430,[1220-4175],Female,Rural,Total
